"description","n_images"
"Leg",1091
"Shoulder",807
"Arm",695
"Clothing",674
"Joint",584
"Beauty",582
"Thigh",570
"Physical fitness",529
"Muscle",488
"Photography",404
"Abdomen",385
"Font",362
"Human leg",358
"Text",353
"Fashion",329
"Vacation",323
"Room",312
"Sportswear",308
"Undergarment",267
"Sitting",259
"Hair",257
"Pink",248
"Fun",243
"Long hair",239
"Standing",233
"Knee",231
"Waist",229
"Summer",202
"Line",192
"Skin",192
"Model",186
"Face",185
"Footwear",183
"Sky",183
"Chest",178
"Lip",177
"Tree",173
"Photo shoot",170
"Leisure",169
"Hairstyle",163
"Blond",161
"Food",153
"Barechested",152
"Dress",152
"Sea",147
"White",145
"Furniture",141
"Eyebrow",140
"Human body",140
"Water",139
"Plant",138
"Neck",132
"Exercise",131
"Bikini",130
"Lingerie",127
"Outerwear",126
"Chin",124
"Selfie",124
"Black hair",121
"Cuisine",121
"Smile",119
"Dish",117
"Photograph",115
"Jeans",113
"Nose",113
"Stretching",113
"Architecture",112
"Forehead",112
"Magenta",112
"Stomach",111
"Floor",107
"Recreation",104
"Yellow",101
"Swimwear",100
"Blue",99
"Street fashion",99
"Cool",92
"Strength training",90
"Active pants",89
"Tourism",89
"Interior design",88
"Grass",87
"Ingredient",84
"Trunk",84
"Beach",83
"Lady",83
"Snapshot",83
"Building",78
"Exercise equipment",77
"Vehicle",77
"Brassiere",76
"Purple",76
"Head",75
"Child",72
"Red",70
"Flooring",68
"Tights",68
"Canidae",66
"Event",65
"Hand",65
"Ocean",65
"T-shirt",63
"Violet",63
"Shoe",61
"Textile",61
"Produce",60
"Yoga",59
"Brown hair",58
"House",58
"Cheek",57
"Eyewear",57
"Happy",57
"Dog",56
"Product",56
"Black",55
"Sports",54
"Leggings",53
"Art",52
"Bodybuilding",52
"Finger",52
"Flower",52
"Black-and-white",51
"Fitness professional",51
"Jacket",51
"Meal",51
"Table",51
